Model,team_score_mae_min,team_score_mae_max,team_score_mae_mean,team_score_mae_median,opp_score_mae_min,opp_score_mae_max,opp_score_mae_mean,opp_score_mae_median
ATL,0.16358184814453125,9.720619201660156,3.141862392425537,2.360271453857422,0.4261054992675781,6.525749206542969,2.7928690910339355,2.041412353515625
CHI,0.788116455078125,9.196556091308594,3.697831153869629,3.186931610107422,0.150482177734375,4.582633972167969,2.0280237197875977,1.5750999450683594
CON,0.254852294921875,8.480606079101562,3.299741744995117,3.4132766723632812,0.7064666748046875,7.719963073730469,3.9050540924072266,3.185272216796875
DAL,0.8134994506835938,3.5135650634765625,2.170426368713379,2.1968917846679688,0.5747528076171875,4.336784362792969,2.49050235748291,2.4938735961914062
IND,0.10015106201171875,6.440971374511719,2.5355405807495117,1.6230354309082031,0.13610076904296875,6.135093688964844,2.2787981033325195,1.448638916015625
LAS,0.4846038818359375,11.117782592773438,3.1144113540649414,2.1288299560546875,0.6611328125,12.640335083007812,3.582897186279297,2.0107040405273438
LVA,0.25286102294921875,9.045364379882812,3.3490304946899414,2.413360595703125,0.8052902221679688,4.5150146484375,2.42141056060791,2.3774681091308594
League,0.0116424560546875,16.540420532226562,1.5387532711029053,0.8562736511230469,0.0539398193359375,17.32569122314453,1.4961000680923462,0.9645118713378906
MIN,0.56915283203125,7.363075256347656,3.876898765563965,3.1943740844726562,0.3491363525390625,8.532981872558594,3.246041774749756,2.29876708984375
NYL,0.192047119140625,4.713386535644531,1.6371374130249023,0.8047752380371094,0.225921630859375,2.2406463623046875,0.9343814849853516,0.8673362731933594
PHO,1.7682571411132812,11.912242889404297,5.332443714141846,3.165283203125,0.5158920288085938,12.795783996582031,7.108363151550293,7.753269195556641
SEA,1.0531768798828125,6.107521057128906,2.281400680541992,1.4883384704589844,0.9227447509765625,7.9249420166015625,4.296164512634277,5.018733978271484
WAS,0.3491363525390625,8.719657897949219,3.753692626953125,2.667369842529297,0.1805572509765625,5.139312744140625,2.974970817565918,2.9578933715820312
