Model,team_score_mae_min,team_score_mae_max,team_score_mae_mean,team_score_mae_median,team_score_r2,opp_score_mae_min,opp_score_mae_max,opp_score_mae_mean,opp_score_mae_median,opp_score_r2,team_score_mae_min_avg_avg,team_score_mae_max_avg_avg,team_score_mae_mean_avg_avg,team_score_mae_median_avg_avg,team_score_r2_avg_avg,opp_score_mae_min_avg_avg,opp_score_mae_max_avg_avg,opp_score_mae_mean_avg_avg,opp_score_mae_median_avg_avg,opp_score_r2_avg_avg
ATL,0.16358184814453125,9.720619201660156,3.141862392425537,2.360271453857422,0.6872363090515137,0.4261054992675781,6.525749206542969,2.7928690910339355,2.041412353515625,0.7110211849212646,0.0,17.0,5.5,4.5,0.0,0.5,10.5,5.75,6.5,0.0
CHI,0.788116455078125,9.196556091308594,3.697831153869629,3.186931610107422,0.7428704500198364,0.150482177734375,4.582633972167969,2.0280237197875977,1.5750999450683594,0.9027350544929504,4.375,13.375,8.125,7.5,0.0,0.75,14.75,6.5,7.0,0.0
CON,0.254852294921875,8.480606079101562,3.299741744995117,3.4132766723632812,0.8220481872558594,0.7064666748046875,7.719963073730469,3.9050540924072266,3.185272216796875,0.7302870750427246,0.25,17.25,8.5,7.5,0.0,3.25,15.25,8.0,6.75,0.0
DAL,0.8134994506835938,3.5135650634765625,2.170426368713379,2.1968917846679688,0.9167401790618896,0.5747528076171875,4.336784362792969,2.49050235748291,2.4938735961914062,0.8503657579421997,1.25,13.25,6.75,6.75,0.0,0.875,14.875,5.875,5.5,0.0
IND,0.10015106201171875,6.440971374511719,2.5355405807495117,1.6230354309082031,0.8311322331428528,0.13610076904296875,6.135093688964844,2.2787981033325195,1.448638916015625,0.5981550216674805,2.25,13.75,7.0625,5.75,0.0,0.25,7.25,4.0625,3.75,0.0
LAS,0.4846038818359375,11.117782592773438,3.1144113540649414,2.1288299560546875,0.8170171976089478,0.6611328125,12.640335083007812,3.582897186279297,2.0107040405273438,0.6185063719749451,0.5,19.5,8.5,7.0,0.0,0.125,17.875,6.65625,6.0,0.0
LVA,0.25286102294921875,9.045364379882812,3.3490304946899414,2.413360595703125,0.718098521232605,0.8052902221679688,4.5150146484375,2.42141056060791,2.3774681091308594,0.9239709973335266,0.375,16.625,6.125,5.0,0.0,2.5,18.5,8.75,8.0,0.0
League,0.0116424560546875,16.540420532226562,1.5387532711029053,0.8562736511230469,0.9366951584815979,0.0539398193359375,17.32569122314453,1.4961000680923462,0.9645118713378906,0.9379886388778687,0.1145833333333286,32.88541666666667,8.783637152777777,7.885416666666671,0.0,0.4166666666666714,27.41666666666667,8.996527777777777,7.5,0.0
MIN,0.56915283203125,7.363075256347656,3.876898765563965,3.1943740844726562,0.7649363279342651,0.3491363525390625,8.532981872558594,3.246041774749756,2.29876708984375,0.8007273077964783,1.5,13.5,8.125,8.5,0.0,0.5,19.5,6.375,3.5,0.0
NYL,0.192047119140625,4.713386535644531,1.6371374130249023,0.8047752380371094,0.9212417006492615,0.225921630859375,2.2406463623046875,0.9343814849853516,0.8673362731933594,0.9851630926132202,5.625,11.375,7.875,7.5,0.0,0.25,13.25,8.25,7.75,0.0
PHO,1.7682571411132812,11.912242889404297,5.332443714141846,3.165283203125,0.7117663621902466,0.5158920288085938,12.795783996582031,7.108363151550293,7.753269195556641,0.6211768984794617,0.375,29.375,8.28125,3.5,0.0,0.875,20.875,12.125,12.5,0.0
SEA,1.0531768798828125,6.107521057128906,2.281400680541992,1.4883384704589844,0.8225500583648682,0.9227447509765625,7.9249420166015625,4.296164512634277,5.018733978271484,0.7013329863548279,0.25,11.75,5.3125,5.75,0.0,1.875,20.125,7.09375,5.0,0.0
WAS,0.3491363525390625,8.719657897949219,3.753692626953125,2.667369842529297,0.6022452116012573,0.1805572509765625,5.139312744140625,2.974970817565918,2.9578933715820312,0.8735737800598145,0.875,13.125,6.09375,5.375,0.0,0.25,18.75,7.0,4.0,0.0
